iteration,constructed,improved,best
104,1.68485e+06,1.67471e+06,1.61069e+06
105,1.68485e+06,1.63838e+06,1.61069e+06
106,1.68485e+06,1.63904e+06,1.61069e+06
107,1.68485e+06,1.68485e+06,1.61069e+06
108,1.68485e+06,1.67664e+06,1.61069e+06
109,1.68485e+06,1.68485e+06,1.61069e+06
110,1.68485e+06,1.65108e+06,1.61069e+06
111,1.68485e+06,1.67522e+06,1.61069e+06
112,1.68485e+06,1.68476e+06,1.61069e+06
113,1.68485e+06,1.6808e+06,1.61069e+06
114,1.68485e+06,1.64531e+06,1.61069e+06
115,1.68485e+06,1.67e+06,1.61069e+06
116,1.68485e+06,1.68485e+06,1.61069e+06
117,1.68485e+06,1.6312e+06,1.61069e+06
118,1.68485e+06,1.63892e+06,1.61069e+06
119,1.68485e+06,1.61193e+06,1.61069e+06
120,1.68485e+06,1.63429e+06,1.61069e+06
121,1.68485e+06,1.68485e+06,1.61069e+06
122,1.68485e+06,1.68485e+06,1.61069e+06
