method,config,instance,avg_best8,best8,worst8,std8
GRASP,"iter=60;rcl=5;ls=293",cap111_ss,1.29634e+06,1.26902e+06,1.32715e+06,17458.1
GRASP,"iter=60;rcl=6;ls=293",cap41_ss,1.69939e+06,1.65085e+06,1.74071e+06,27777.2
GRASP,"iter=60;rcl=6;ls=293",cap81_ss,1.3052e+06,1.26843e+06,1.33202e+06,21373.8
GRASP,"iter=60;rcl=6;ls=293",cap111_ss,1.30657e+06,1.28639e+06,1.32587e+06,14153.4
GRASP,"iter=60;rcl=2;ls=313",cap41_ss,1.62861e+06,1.60683e+06,1.63517e+06,8540.42
GRASP,"iter=60;rcl=2;ls=313",cap81_ss,1.22391e+06,1.21241e+06,1.23627e+06,8146.33
GRASP,"iter=60;rcl=2;ls=313",cap111_ss,1.21435e+06,1.20706e+06,1.22465e+06,5616.48
GRASP,"iter=60;rcl=3;ls=313",cap41_ss,1.64746e+06,1.62234e+06,1.66427e+06,12155.6
GRASP,"iter=60;rcl=3;ls=313",cap81_ss,1.24559e+06,1.23114e+06,1.25471e+06,7514.49
GRASP,"iter=60;rcl=3;ls=313",cap111_ss,1.23934e+06,1.22388e+06,1.26502e+06,14759.2
GRASP,"iter=60;rcl=4;ls=313",cap41_ss,1.65981e+06,1.62408e+06,1.69878e+06,20945.9
GRASP,"iter=60;rcl=4;ls=313",cap81_ss,1.26714e+06,1.24895e+06,1.29403e+06,13335.5
GRASP,"iter=60;rcl=4;ls=313",cap111_ss,1.26565e+06,1.25577e+06,1.2788e+06,8410.09
GRASP,"iter=60;rcl=5;ls=313",cap41_ss,1.68777e+06,1.66773e+06,1.71013e+06,13229.4
GRASP,"iter=60;rcl=5;ls=313",cap81_ss,1.27314e+06,1.24346e+06,1.30401e+06,16576.7
GRASP,"iter=60;rcl=5;ls=313",cap111_ss,1.291e+06,1.23836e+06,1.31782e+06,24075.5
GRASP,"iter=60;rcl=6;ls=313",cap41_ss,1.7002e+06,1.66722e+06,1.73915e+06,22409
GRASP,"iter=60;rcl=6;ls=313",cap81_ss,1.29183e+06,1.26915e+06,1.32824e+06,18723.9
GRASP,"iter=60;rcl=6;ls=313",cap111_ss,1.30368e+06,1.25921e+06,1.32577e+06,19770.7
GRASP,"iter=60;rcl=2;ls=333",cap41_ss,1.62714e+06,1.61214e+06,1.64368e+06,10793.8
GRASP,"iter=60;rcl=2;ls=333",cap81_ss,1.21942e+06,1.2077e+06,1.23268e+06,7705.04
GRASP,"iter=60;rcl=2;ls=333",cap111_ss,1.21348e+06,1.20237e+06,1.22368e+06,5986.67
GRASP,"iter=60;rcl=3;ls=333",cap41_ss,1.65794e+06,1.63397e+06,1.67598e+06,12925.7
GRASP,"iter=60;rcl=3;ls=333",cap81_ss,1.23826e+06,1.22273e+06,1.25655e+06,11211.6
GRASP,"iter=60;rcl=3;ls=333",cap111_ss,1.23576e+06,1.22098e+06,1.25543e+06,11263.9
GRASP,"iter=60;rcl=4;ls=333",cap41_ss,1.67237e+06,1.62843e+06,1.69776e+06,21436.8
GRASP,"iter=60;rcl=4;ls=333",cap81_ss,1.25139e+06,1.22432e+06,1.2797e+06,19817.8
GRASP,"iter=60;rcl=4;ls=333",cap111_ss,1.26898e+06,1.2563e+06,1.29076e+06,12732.6
GRASP,"iter=60;rcl=5;ls=333",cap41_ss,1.68262e+06,1.64691e+06,1.71021e+06,17850
GRASP,"iter=60;rcl=5;ls=333",cap81_ss,1.27322e+06,1.25827e+06,1.30082e+06,12571.2
GRASP,"iter=60;rcl=5;ls=333",cap111_ss,1.26965e+06,1.24886e+06,1.29474e+06,15566.6
GRASP,"iter=60;rcl=6;ls=333",cap41_ss,1.6851e+06,1.63524e+06,1.74332e+06,30394.2
GRASP,"iter=60;rcl=6;ls=333",cap81_ss,1.28603e+06,1.26689e+06,1.31942e+06,16786.9
GRASP,"iter=60;rcl=6;ls=333",cap111_ss,1.30841e+06,1.29754e+06,1.32439e+06,7705.07
GRASP,"iter=60;rcl=2;ls=353",cap41_ss,1.63023e+06,1.62111e+06,1.63959e+06,5216.51
GRASP,"iter=60;rcl=2;ls=353",cap81_ss,1.22263e+06,1.21365e+06,1.2305e+06,5339.84
GRASP,"iter=60;rcl=2;ls=353",cap111_ss,1.20968e+06,1.2035e+06,1.21722e+06,4334.9
GRASP,"iter=60;rcl=3;ls=353",cap41_ss,1.63901e+06,1.59687e+06,1.65135e+06,16590.4
GRASP,"iter=60;rcl=3;ls=353",cap81_ss,1.24995e+06,1.233e+06,1.25984e+06,7606.88
GRASP,"iter=60;rcl=3;ls=353",cap111_ss,1.23567e+06,1.22912e+06,1.24767e+06,5251.96
GRASP,"iter=60;rcl=4;ls=353",cap41_ss,1.66498e+06,1.63208e+06,1.69954e+06,17886.9
