method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=180000;cool=0.995;tmin=8;iter=8",cap81_ss,1.19064e+06,1.18314e+06,1.19909e+06,5234.34
SA,"t0=180000;cool=0.995;tmin=8;iter=8",cap111_ss,1.17893e+06,1.16709e+06,1.19303e+06,7910.11
SA,"t0=180000;cool=0.995;tmin=8;iter=9",cap41_ss,1.56916e+06,1.56039e+06,1.58425e+06,6888.89
SA,"t0=180000;cool=0.995;tmin=8;iter=9",cap81_ss,1.18734e+06,1.18074e+06,1.19284e+06,4551.58
SA,"t0=180000;cool=0.995;tmin=8;iter=9",cap111_ss,1.18865e+06,1.17215e+06,1.20304e+06,9522.67
SA,"t0=180000;cool=0.995;tmin=8;iter=10",cap41_ss,1.57074e+06,1.55975e+06,1.59548e+06,12137.1
SA,"t0=180000;cool=0.995;tmin=8;iter=10",cap81_ss,1.1892e+06,1.18314e+06,1.19801e+06,4228.37
SA,"t0=180000;cool=0.995;tmin=8;iter=10",cap111_ss,1.17987e+06,1.16726e+06,1.18736e+06,5731.96
SA,"t0=180000;cool=0.995;tmin=8;iter=11",cap41_ss,1.57414e+06,1.56256e+06,1.61448e+06,16040.2
SA,"t0=180000;cool=0.995;tmin=8;iter=11",cap81_ss,1.18873e+06,1.18341e+06,1.19719e+06,3910.78
SA,"t0=180000;cool=0.995;tmin=8;iter=11",cap111_ss,1.17715e+06,1.17043e+06,1.18231e+06,4828.33
SA,"t0=180000;cool=0.996;tmin=8;iter=6",cap41_ss,1.57491e+06,1.56322e+06,1.58886e+06,10031.7
SA,"t0=180000;cool=0.996;tmin=8;iter=6",cap81_ss,1.19275e+06,1.185e+06,1.21091e+06,7399.57
SA,"t0=180000;cool=0.996;tmin=8;iter=6",cap111_ss,1.18497e+06,1.17039e+06,1.21202e+06,11400.4
SA,"t0=180000;cool=0.996;tmin=8;iter=7",cap41_ss,1.56668e+06,1.55993e+06,1.58085e+06,6553.78
SA,"t0=180000;cool=0.996;tmin=8;iter=7",cap81_ss,1.19139e+06,1.18437e+06,1.19692e+06,3991.28
SA,"t0=180000;cool=0.996;tmin=8;iter=7",cap111_ss,1.18309e+06,1.17845e+06,1.19236e+06,4313.3
SA,"t0=180000;cool=0.996;tmin=8;iter=8",cap41_ss,1.56803e+06,1.56039e+06,1.58264e+06,7212.01
SA,"t0=180000;cool=0.996;tmin=8;iter=8",cap81_ss,1.18958e+06,1.18355e+06,1.19897e+06,4823.95
SA,"t0=180000;cool=0.996;tmin=8;iter=8",cap111_ss,1.1807e+06,1.17307e+06,1.20011e+06,8449.46
SA,"t0=180000;cool=0.996;tmin=8;iter=9",cap41_ss,1.56775e+06,1.55975e+06,1.58701e+06,8329.3
SA,"t0=180000;cool=0.996;tmin=8;iter=9",cap81_ss,1.19082e+06,1.18594e+06,1.20732e+06,7095.07
SA,"t0=180000;cool=0.996;tmin=8;iter=9",cap111_ss,1.17713e+06,1.16708e+06,1.18973e+06,6329.41
SA,"t0=180000;cool=0.997;tmin=8;iter=4",cap41_ss,1.5738e+06,1.565e+06,1.58338e+06,5368.92
