method,config,instance,avg_best8,best8,worst8,std8
EA,"pop=20;gen=1000;tour=7;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.57619e+06,1.5627e+06,1.59148e+06,9777.83
EA,"pop=20;gen=1000;tour=7;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19581e+06,1.18349e+06,1.20567e+06,7083.72
EA,"pop=20;gen=1000;tour=7;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.18257e+06,1.17664e+06,1.18986e+06,5075.96
EA,"pop=25;gen=800;tour=3;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.61188e+06,1.5803e+06,1.64974e+06,23923.1
EA,"pop=25;gen=800;tour=3;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.22094e+06,1.18949e+06,1.26907e+06,25990.6
EA,"pop=25;gen=800;tour=3;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.21613e+06,1.19366e+06,1.24449e+06,16764.4
EA,"pop=25;gen=800;tour=3;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.60443e+06,1.57141e+06,1.6523e+06,24202.2
EA,"pop=25;gen=800;tour=3;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.19958e+06,1.18842e+06,1.21795e+06,11266.8
EA,"pop=25;gen=800;tour=3;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.20092e+06,1.19185e+06,1.21464e+06,8293.81
EA,"pop=25;gen=800;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.5845e+06,1.56673e+06,1.632e+06,20718.4
EA,"pop=25;gen=800;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19762e+06,1.18932e+06,1.21842e+06,9282.97
EA,"pop=25;gen=800;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.199e+06,1.18628e+06,1.22509e+06,13717.1
EA,"pop=25;gen=800;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58573e+06,1.56459e+06,1.60981e+06,15372.9
EA,"pop=25;gen=800;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19719e+06,1.18954e+06,1.21735e+06,8825.28
EA,"pop=25;gen=800;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.19175e+06,1.18254e+06,1.21332e+06,9236.31
EA,"pop=25;gen=800;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.5785e+06,1.56706e+06,1.59813e+06,9840.93
EA,"pop=25;gen=800;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.20177e+06,1.19339e+06,1.21637e+06,9069.84
EA,"pop=25;gen=800;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.2079e+06,1.18863e+06,1.23065e+06,12499.6
EA,"pop=25;gen=800;tour=7;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.64142e+06,1.57635e+06,1.72794e+06,40705.4
EA,"pop=25;gen=800;tour=7;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.21671e+06,1.19374e+06,1.2514e+06,21292.3
EA,"pop=25;gen=800;tour=7;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.2068e+06,1.19243e+06,1.2318e+06,13371.9
EA,"pop=25;gen=800;tour=7;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.59589e+06,1.5844e+06,1.60829e+06,8132.85
EA,"pop=25;gen=800;tour=7;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.19362e+06,1.18668e+06,1.2148e+06,8303.8
EA,"pop=25;gen=800;tour=7;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19855e+06,1.19212e+06,1.21152e+06,6798.53
EA,"pop=25;gen=800;tour=7;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.57959e+06,1.56455e+06,1.62319e+06,17949
EA,"pop=25;gen=800;tour=7;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19996e+06,1.19035e+06,1.22784e+06,11330.2
EA,"pop=25;gen=800;tour=7;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19143e+06,1.18037e+06,1.19949e+06,6275.64
EA,"pop=25;gen=800;tour=7;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.57286e+06,1.56324e+06,1.58404e+06,8442.32
EA,"pop=25;gen=800;tour=7;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19364e+06,1.1905e+06,1.19628e+06,1871.25
EA,"pop=25;gen=800;tour=7;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.19132e+06,1.18441e+06,1.20243e+06,5255.71
EA,"pop=25;gen=800;tour=7;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.56905e+06,1.56381e+06,1.58031e+06,5614.4
EA,"pop=25;gen=800;tour=7;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.19156e+06,1.18596e+06,1.19673e+06,3866.34
EA,"pop=25;gen=800;tour=7;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.18589e+06,1.17614e+06,1.19421e+06,6177.65
