method,config,instance,avg_best8,best8,worst8,std8
VNS,"iter=50;shake=10;ls=400",cap81_ss,1.18875e+06,1.18473e+06,1.19643e+06,3868.44
VNS,"iter=50;shake=10;ls=400",cap111_ss,1.19596e+06,1.18052e+06,1.20682e+06,8395.62
VNS,"iter=50;shake=2;ls=420",cap41_ss,1.5683e+06,1.56088e+06,1.58482e+06,7947.36
VNS,"iter=50;shake=2;ls=420",cap81_ss,1.19072e+06,1.18578e+06,1.19809e+06,3617.76
VNS,"iter=50;shake=2;ls=420",cap111_ss,1.19043e+06,1.18308e+06,1.20694e+06,7053.9
VNS,"iter=50;shake=4;ls=420",cap41_ss,1.57244e+06,1.56271e+06,1.58572e+06,8383.38
VNS,"iter=50;shake=4;ls=420",cap81_ss,1.19042e+06,1.18342e+06,1.19695e+06,4609.75
VNS,"iter=50;shake=4;ls=420",cap111_ss,1.2006e+06,1.18779e+06,1.20665e+06,7220.97
VNS,"iter=50;shake=6;ls=420",cap41_ss,1.56548e+06,1.56063e+06,1.57121e+06,3758.4
VNS,"iter=50;shake=6;ls=420",cap81_ss,1.18779e+06,1.18546e+06,1.19065e+06,1780.8
VNS,"iter=50;shake=6;ls=420",cap111_ss,1.19525e+06,1.18355e+06,1.20397e+06,5659.2
VNS,"iter=50;shake=8;ls=420",cap41_ss,1.56747e+06,1.56074e+06,1.57558e+06,4397.77
VNS,"iter=50;shake=8;ls=420",cap81_ss,1.18659e+06,1.18341e+06,1.19023e+06,2129.81
VNS,"iter=50;shake=8;ls=420",cap111_ss,1.19415e+06,1.18204e+06,1.20687e+06,9079.35
VNS,"iter=50;shake=10;ls=420",cap41_ss,1.56955e+06,1.55975e+06,1.58326e+06,8997.28
VNS,"iter=50;shake=10;ls=420",cap81_ss,1.18747e+06,1.18314e+06,1.19326e+06,3711.52
VNS,"iter=50;shake=10;ls=420",cap111_ss,1.18976e+06,1.17578e+06,1.20496e+06,8633.64
VNS,"iter=60;shake=2;ls=293",cap41_ss,1.56333e+06,1.5607e+06,1.56803e+06,2194
VNS,"iter=60;shake=2;ls=293",cap81_ss,1.19183e+06,1.18341e+06,1.20267e+06,5541.08
VNS,"iter=60;shake=2;ls=293",cap111_ss,1.20181e+06,1.1894e+06,1.21191e+06,6977.54
VNS,"iter=60;shake=4;ls=293",cap41_ss,1.56558e+06,1.56039e+06,1.57103e+06,3426.54
VNS,"iter=60;shake=4;ls=293",cap81_ss,1.19023e+06,1.18367e+06,1.19746e+06,4206.06
VNS,"iter=60;shake=4;ls=293",cap111_ss,1.20091e+06,1.18027e+06,1.21468e+06,10890.5
VNS,"iter=60;shake=6;ls=293",cap41_ss,1.56619e+06,1.56059e+06,1.58502e+06,7369.6
VNS,"iter=60;shake=6;ls=293",cap81_ss,1.18818e+06,1.18197e+06,1.19495e+06,3996.42
VNS,"iter=60;shake=6;ls=293",cap111_ss,1.20073e+06,1.18898e+06,1.20811e+06,7675.39
VNS,"iter=60;shake=8;ls=293",cap41_ss,1.5646e+06,1.56032e+06,1.57092e+06,3410.58
VNS,"iter=60;shake=8;ls=293",cap81_ss,1.19149e+06,1.18572e+06,1.19745e+06,3443.44
VNS,"iter=60;shake=8;ls=293",cap111_ss,1.20376e+06,1.1827e+06,1.21889e+06,9457.38
VNS,"iter=60;shake=10;ls=293",cap41_ss,1.57549e+06,1.56306e+06,1.62151e+06,17928.4
VNS,"iter=60;shake=10;ls=293",cap81_ss,1.1897e+06,1.18487e+06,1.19542e+06,3364.69
VNS,"iter=60;shake=10;ls=293",cap111_ss,1.19949e+06,1.18868e+06,1.21464e+06,7854.09
VNS,"iter=60;shake=2;ls=313",cap41_ss,1.56937e+06,1.56006e+06,1.57845e+06,5747.29
VNS,"iter=60;shake=2;ls=313",cap81_ss,1.18626e+06,1.18074e+06,1.1959e+06,4220.1
VNS,"iter=60;shake=2;ls=313",cap111_ss,1.19828e+06,1.18241e+06,1.21683e+06,10004.5
VNS,"iter=60;shake=4;ls=313",cap41_ss,1.57009e+06,1.56271e+06,1.57734e+06,5550.16
VNS,"iter=60;shake=4;ls=313",cap81_ss,1.18927e+06,1.18314e+06,1.19719e+06,4239.12
VNS,"iter=60;shake=4;ls=313",cap111_ss,1.19574e+06,1.18931e+06,1.20711e+06,5849.13
VNS,"iter=60;shake=6;ls=313",cap41_ss,1.58085e+06,1.56663e+06,1.61931e+06,15246.3
VNS,"iter=60;shake=6;ls=313",cap81_ss,1.18801e+06,1.18445e+06,1.1933e+06,2452.23
VNS,"iter=60;shake=6;ls=313",cap111_ss,1.19779e+06,1.18935e+06,1.20855e+06,5839.06
VNS,"iter=60;shake=8;ls=313",cap41_ss,1.56805e+06,1.55975e+06,1.57558e+06,4832.34
VNS,"iter=60;shake=8;ls=313",cap81_ss,1.1897e+06,1.18432e+06,1.1969e+06,4507.18
VNS,"iter=60;shake=8;ls=313",cap111_ss,1.19614e+06,1.18789e+06,1.20469e+06,5798.16
VNS,"iter=60;shake=10;ls=313",cap41_ss,1.56613e+06,1.56004e+06,1.57237e+06,3395.53
VNS,"iter=60;shake=10;ls=313",cap81_ss,1.18856e+06,1.1853e+06,1.19386e+06,3265.06
VNS,"iter=60;shake=10;ls=313",cap111_ss,1.20118e+06,1.17766e+06,1.21359e+06,11115.8
VNS,"iter=60;shake=2;ls=333",cap41_ss,1.57211e+06,1.55975e+06,1.58809e+06,9214.57
VNS,"iter=60;shake=2;ls=333",cap81_ss,1.18904e+06,1.18445e+06,1.19275e+06,2708.14
VNS,"iter=60;shake=2;ls=333",cap111_ss,1.19988e+06,1.18146e+06,1.23194e+06,16024
VNS,"iter=60;shake=4;ls=333",cap41_ss,1.56746e+06,1.56032e+06,1.58381e+06,7045.3
VNS,"iter=60;shake=4;ls=333",cap81_ss,1.18747e+06,1.18273e+06,1.19552e+06,3787.56
