iteration,constructed,improved,best
41,1.71566e+06,1.69622e+06,1.66253e+06
42,1.832e+06,1.80148e+06,1.66253e+06
43,1.74409e+06,1.70086e+06,1.66253e+06
44,1.7709e+06,1.75526e+06,1.66253e+06
45,1.82985e+06,1.82223e+06,1.66253e+06
46,1.96613e+06,1.88049e+06,1.66253e+06
47,1.75276e+06,1.72671e+06,1.66253e+06
48,2.01319e+06,1.9002e+06,1.66253e+06
49,1.94813e+06,1.84144e+06,1.66253e+06
50,1.87693e+06,1.71069e+06,1.66253e+06
51,1.88186e+06,1.81946e+06,1.66253e+06
52,1.76665e+06,1.7531e+06,1.66253e+06
53,1.99025e+06,1.91213e+06,1.66253e+06
54,1.72002e+06,1.71396e+06,1.66253e+06
55,1.75555e+06,1.73921e+06,1.66253e+06
56,1.79177e+06,1.71984e+06,1.66253e+06
57,1.77627e+06,1.76192e+06,1.66253e+06
58,1.75988e+06,1.74411e+06,1.66253e+06
59,1.79049e+06,1.76525e+06,1.66253e+06
60,1.74824e+06,1.74655e+06,1.66253e+06
61,1.77884e+06,1.7698e+06,1.66253e+06
62,1.84417e+06,1.81063e+06,1.66253e+06
63,1.79745e+06,1.73054e+06,1.66253e+06
64,1.88403e+06,1.87893e+06,1.66253e+06
65,1.86536e+06,1.7999e+06,1.66253e+06
66,1.74871e+06,1.73382e+06,1.66253e+06
67,1.93058e+06,1.89139e+06,1.66253e+06
68,1.81374e+06,1.7922e+06,1.66253e+06
69,1.83861e+06,1.76579e+06,1.66253e+06
70,1.96584e+06,1.7502e+06,1.66253e+06
71,1.78469e+06,1.75313e+06,1.66253e+06
72,1.89664e+06,1.86214e+06,1.66253e+06
73,1.92263e+06,1.87992e+06,1.66253e+06
74,1.73021e+06,1.66554e+06,1.66253e+06
75,2.04028e+06,1.98262e+06,1.66253e+06
76,1.68338e+06,1.67428e+06,1.66253e+06
77,1.90013e+06,1.84191e+06,1.66253e+06
78,1.87572e+06,1.84497e+06,1.66253e+06
79,1.90271e+06,1.85641e+06,1.66253e+06
80,1.81902e+06,1.77896e+06,1.66253e+06
81,1.77173e+06,1.67531e+06,1.66253e+06
82,1.77277e+06,1.75909e+06,1.66253e+06
83,1.81109e+06,1.79391e+06,1.66253e+06
84,1.70588e+06,1.68144e+06,1.66253e+06
85,1.77562e+06,1.75589e+06,1.66253e+06
86,1.78595e+06,1.77304e+06,1.66253e+06
87,1.78879e+06,1.64877e+06,1.64877e+06
88,1.83048e+06,1.8037e+06,1.64877e+06
89,1.69324e+06,1.66247e+06,1.64877e+06
90,2.02057e+06,1.98264e+06,1.64877e+06
91,1.89764e+06,1.82071e+06,1.64877e+06
92,1.67572e+06,1.66916e+06,1.64877e+06
93,1.89529e+06,1.77371e+06,1.64877e+06
94,1.78992e+06,1.78354e+06,1.64877e+06
95,1.90822e+06,1.90822e+06,1.64877e+06
96,1.9315e+06,1.79524e+06,1.64877e+06
97,1.8528e+06,1.81059e+06,1.64877e+06
98,1.82753e+06,1.76596e+06,1.64877e+06
99,1.78176e+06,1.77114e+06,1.64877e+06
100,1.96432e+06,1.87411e+06,1.64877e+06
101,1.92654e+06,1.85219e+06,1.64877e+06
102,1.79251e+06,1.77959e+06,1.64877e+06
103,1.85001e+06,1.75699e+06,1.64877e+06
104,1.75768e+06,1.71237e+06,1.64877e+06
105,1.8517e+06,1.825e+06,1.64877e+06
106,1.96582e+06,1.9217e+06,1.64877e+06
107,2.03842e+06,1.81436e+06,1.64877e+06
108,1.86741e+06,1.85065e+06,1.64877e+06
109,1.81731e+06,1.77332e+06,1.64877e+06
110,1.79957e+06,1.79669e+06,1.64877e+06
111,1.78621e+06,1.72391e+06,1.64877e+06
112,1.76455e+06,1.7073e+06,1.64877e+06
113,1.89323e+06,1.83242e+06,1.64877e+06
114,1.86888e+06,1.8109e+06,1.64877e+06
115,1.90182e+06,1.90164e+06,1.64877e+06
116,1.9099e+06,1.80027e+06,1.64877e+06
117,1.77554e+06,1.72877e+06,1.64877e+06
118,1.72488e+06,1.70536e+06,1.64877e+06
119,1.76007e+06,1.73849e+06,1.64877e+06
120,1.85866e+06,1.84091e+06,1.64877e+06
121,1.8568e+06,1.81671e+06,1.64877e+06
122,1.99394e+06,1.93183e+06,1.64877e+06
